"genus","condition","avg_abundance"
"Crocosphaera","b",0.0333333333333333
"Cronobacter","a",0.1
"Cronobacter","b",0.0333333333333333
"Cryobacterium","a",0.0333333333333333
"Cryobacterium","b",0
"Cryptobacterium","a",0.416666666666667
"Cryptobacterium","b",0.25
"Cupriavidus","a",0.0333333333333333
"Cupriavidus","b",0.0111111111111111
"Curtobacterium","a",0.0333333333333333
"Curtobacterium","b",0.1
"Cyanobacterium","a",0.0777777777777778
"Cyanobacterium","b",0.0222222222222222
"Cyanothece","a",0.133333333333333
"Cyanothece","b",0.05
"Cyclobacterium","a",0.383333333333333
"Cyclobacterium","b",0.191666666666667
"Cylindrospermum","a",0
"Cylindrospermum","b",0.0333333333333333
"Cystobacter","a",0.183333333333333
"Cystobacter","b",0.1
"Cytophaga","a",0.433333333333333
"Cytophaga","b",0.133333333333333
"Dacryopinax","a",0.0666666666666667
"Dacryopinax","b",0
"Deefgea","a",0.0333333333333333
"Deefgea","b",0
"Deferribacter","a",0.0666666666666667
"Deferribacter","b",0.0333333333333333
"Deferrisoma","a",0.466666666666667
"Deferrisoma","b",0.233333333333333
"Defluviitalea","a",5.93333333333333
"Defluviitalea","b",6.46666666666667
"Defluviitoga","a",0.3
"Defluviitoga","b",0.3
"Dehalobacter","a",2.65714285714286
"Dehalobacter","b",2.77619047619048
"Dehalococcoides","a",1.76666666666667
"Dehalococcoides","b",2.06666666666667
"Dehalogenimonas","a",0.0833333333333333
"Dehalogenimonas","b",0.1
"Deinococcus","a",0.141666666666667
"Deinococcus","b",0.1
"Delftia","a",0.166666666666667
"Delftia","b",0.2
"Demequina","a",0.0333333333333333
"Demequina","b",0
"Dendrosporobacter","a",1.06666666666667
"Dendrosporobacter","b",0.6
"Denitrobacterium","a",1.3
"Denitrobacterium","b",0.966666666666667
"Denitrovibrio","a",0.666666666666667
"Denitrovibrio","b",0
"Derxia","a",0.1
"Derxia","b",0.1
"Desertifilum","a",0
"Desertifilum","b",0
"Desmospora","a",0
"Desmospora","b",0.0666666666666667
"Desulfarculus","a",0.366666666666667
"Desulfarculus","b",0.1
"Desulfatibacillum","a",0.2
"Desulfatibacillum","b",0.15
"Desulfatiglans","a",1
"Desulfatiglans","b",0.4
"Desulfatirhabdium","a",1.6
"Desulfatirhabdium","b",1.46666666666667
"Desulfatitalea","a",0.25
"Desulfatitalea","b",0.183333333333333
"Desulfitibacter","a",1.05
"Desulfitibacter","b",1.1
"Desulfitobacterium","a",3.49333333333333
"Desulfitobacterium","b",2.92
"Desulfobacca","a",0.1
"Desulfobacca","b",0.1
"Desulfobacter","a",0.122222222222222
"Desulfobacter","b",0.0666666666666667
